Date,Order number,Category,Category name,Origin,Remaining (MT)
2026-08-05,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-05,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-05,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,2247
2026-08-05,058642,20,Gas Pipes,EU,3084
2026-08-05,058643,20,Gas Pipes,India,1061
2026-08-05,058644,20,Gas Pipes,Turkey,4237
2026-08-05,058645,20,Gas Pipes,Residual,1218
2026-08-05,058646,21,Hollow Sections,EU,3326
2026-08-05,058647,21,Hollow Sections,Turkey,19603
2026-08-05,058648,21,Hollow Sections,Residual,2438
2026-08-06,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,66483
2026-08-06,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-06,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-06,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,2071
2026-08-06,058604,4,Metallic Coated Sheets,EU,88865
2026-08-06,058605,4,Metallic Coated Sheets,India,20617
2026-08-06,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-06,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-06,058608,4,Metallic Coated Sheets,Residual,15059
2026-08-06,058609,5,Organic Coated Sheets,EU,3310
2026-08-06,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-06,058611,5,Organic Coated Sheets,Residual,323
2026-08-06,058612,6,Tin Mill Products,EU,9207
2026-08-06,058613,6,Tin Mill Products,Japan,78
2026-08-06,058614,6,Tin Mill Products,Korea (the Republic of),295
2026-08-06,058615,6,Tin Mill Products,Residual,5876
2026-08-06,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36949
2026-08-06,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-06,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
